Date,1M,3M,6M,1Y,2Y,3Y,4Y,5Y,7Y,10Y,20Y,25Y
2026-07-17,4.7243,5.0601,5.5324,5.9811,6.5547,6.8199,7.014,7.146,7.3008,7.2826,7.0325,7.0323
2026-07-16,4.7244,5.0564,5.5295,5.9717,6.5168,6.7748,6.963,7.0949,7.2626,7.2815,7.0312,7.0311
2026-07-15,4.7379,5.075,5.5545,5.9759,6.5167,6.7772,6.9628,7.0883,7.2483,7.2559,7.0328,7.0317
2026-07-14,4.7614,5.0824,5.5813,5.975,6.5502,6.8325,7.027,7.1488,7.2935,7.3408,7.0357,7.0312
2026-07-13,4.7593,5.0774,5.5803,6.0163,6.4732,6.7193,6.9008,7.0202,7.1602,7.2342,7.03,7.0316
2026-07-10,4.7554,5.0577,5.5776,5.9518,6.4242,6.6596,6.8365,6.9643,7.1413,7.2634,7.0333,7.0326
2026-07-09,4.7704,5.0621,5.5618,5.9752,6.4354,6.6948,6.8871,7.019,7.1696,7.2472,7.0326,7.0321
2026-07-08,4.7921,5.0557,5.5665,5.9627,6.3454,6.5593,6.7294,6.85,7.0035,7.1366,7.036,7.0346
2026-07-07,4.8342,5.0787,5.5538,5.9641,6.3223,6.5288,6.6926,6.8101,6.9631,7.0955,7.0376,7.0355
2026-07-06,4.8189,5.0953,5.5709,6.0105,6.3397,6.5424,6.7018,6.818,6.98,7.1268,7.0357,7.0357
2026-07-03,4.9,5.1237,5.5307,5.9477,6.3436,6.5484,6.7114,6.8291,6.9795,7.1482,7.0377,7.0356
2026-07-02,4.9278,5.1518,5.5678,5.9457,6.3376,6.5488,6.7135,6.8302,6.9606,7.1072,7.038,7.0362
2026-07-01,4.9087,5.1544,5.5774,5.9369,6.3455,6.5583,6.7248,6.8407,6.9535,7.0978,7.0417,7.0365
2026-06-30,4.9374,5.1772,5.6079,5.948,6.3043,6.5023,6.6562,6.7542,6.851,6.9112,6.9819,6.9829
2026-06-29,4.9221,5.1865,5.605,5.9601,6.3207,6.5007,6.6441,6.743,6.8509,6.9267,6.9956,6.9948
2026-06-26,4.9229,5.192,5.5742,5.9761,6.3186,6.4894,6.6288,6.7284,6.8389,6.9285,6.8998,6.8984
2026-06-25,4.9224,5.1835,5.5635,5.9843,6.305,6.4821,6.6233,6.7242,6.8354,6.9329,7.0403,7.0395
2026-06-24,4.9051,5.1665,5.5506,5.9854,6.3429,6.5363,6.6882,6.7924,6.9007,7.006,7.2041,7.2004
2026-06-23,4.8876,5.1268,5.5371,5.9541,6.3231,6.5126,6.6582,6.7591,6.8774,7.0253,6.9945,6.9915
2026-06-22,4.7983,5.1499,5.56,6.1469,6.3115,6.4853,6.6204,6.7172,6.8354,6.9755,6.9931,6.9918
2026-06-19,4.7491,5.0886,5.5095,6.0183,6.3002,6.4633,6.5905,6.6861,6.8229,6.9694,6.9929,6.9919
2026-06-18,4.7482,5.0907,5.5793,6.0035,6.3062,6.4581,6.5845,6.6823,6.8092,6.9763,7.0484,7.0471
2026-06-17,4.7313,5.0533,5.5182,6.0023,6.2989,6.4474,6.5727,6.6739,6.8013,6.9099,7.0501,7.046
2026-06-16,4.6822,5.0369,5.5137,6.0127,6.3127,6.4229,6.5241,6.6187,6.7661,6.8893,7.0481,7.0454
2026-06-15,4.6615,5.062,5.5306,6.1269,6.543,6.6809,6.7639,6.8114,6.859,6.882,7.206,7.1935
2026-06-11,4.6129,5.011,5.4506,6.107,6.7681,6.9977,7.1676,7.2874,7.4308,7.4934,7.6129,7.6138
2026-06-10,4.6089,5.0084,5.4692,6.1352,6.8589,7.1049,7.287,7.411,7.5144,7.6813,7.6449,7.6377
2026-06-09,4.5998,4.9828,5.4449,6.1615,6.8628,7.127,7.3168,7.446,7.5546,7.6438,7.607,7.5961
2026-06-08,4.5858,4.9762,5.4382,6.1616,6.8379,7.0949,7.2721,7.3924,7.4899,7.5316,7.5969,7.5961
2026-06-05,4.7051,4.9562,5.3645,6.0644,6.8175,7.0692,7.246,7.3714,7.4853,7.5293,7.5965,7.5957
2026-06-04,4.7326,4.9808,5.3873,6.0595,6.833,7.0891,7.265,7.3899,7.4976,7.5396,7.5553,7.5544
2026-06-03,4.7368,4.9887,5.3907,6.0687,6.7808,7.0434,7.2259,7.3527,7.4681,7.4795,7.554,7.5543
2026-06-02,4.7279,4.998,5.4725,6.103,6.7659,7.0281,7.2028,7.3216,7.4397,7.5066,7.553,7.5522
2026-06-01,4.6006,4.9789,5.502,6.1915,6.8058,7.0595,7.2189,7.3315,7.4672,7.4902,7.5503,7.5527
2026-05-29,4.5892,4.9893,5.4041,6.1067,6.8037,7.0665,7.2279,7.3377,7.4708,7.5208,7.5829,7.5548
2026-05-28,4.6169,5.0094,5.4303,6.081,6.8572,7.1214,7.281,7.3751,7.4737,7.5356,7.7076,7.7064
2026-05-26,4.7376,5.049,5.4286,6.0584,6.8813,7.1669,7.3465,7.4492,7.5536,7.6214,7.7046,7.7062
2026-05-25,4.7953,5.0684,5.4544,6.0173,6.9347,7.2011,7.3481,7.4264,7.5031,7.5495,7.6896,7.6817
2026-05-22,4.8125,5.0563,5.4593,5.9534,6.9359,7.202,7.3598,7.454,7.595,7.7461,7.6806,7.6766
2026-05-21,4.7601,5.059,5.4698,5.9792,6.9107,7.187,7.3466,7.4423,7.5885,7.7872,7.6842,7.6769
2026-05-20,4.7435,5.0496,5.4445,5.9127,6.9503,7.2366,7.3831,7.4688,7.603,7.8094,7.7865,7.7682
2026-05-19,4.6855,5.0,5.427,5.8994,6.937,7.234,7.3765,7.4485,7.558,7.7853,7.7632,7.7679
2026-05-18,4.6666,4.9643,5.3942,5.8607,6.79,7.1286,7.3494,7.4787,7.6042,7.6415,7.7799,7.7795
2026-05-15,4.5214,4.9111,5.2914,5.914,6.7713,7.1036,7.3194,7.4427,7.5666,7.6151,7.744,7.744
2026-05-14,4.6424,4.9211,5.3089,5.867,6.7014,7.0387,7.2705,7.4275,7.5869,7.5487,7.5596,7.5561
2026-05-13,4.8483,4.9169,5.3167,5.8303,6.7055,6.9889,7.1745,7.2864,7.4006,7.5076,7.5512,7.556
2026-05-12,4.8065,4.8855,5.342,5.8402,6.5209,6.8236,7.0284,7.1516,7.2732,7.3728,7.5506,7.5566
2026-05-11,4.71,4.8276,5.2631,5.5435,6.4258,6.7266,6.9108,7.0106,7.1208,7.2978,7.5004,7.4992
2026-05-08,4.7273,4.7998,5.2372,5.4295,6.3933,6.6873,6.8595,6.9547,7.0652,7.2366,7.4987,7.5015
2026-05-07,4.5798,4.7909,5.1732,5.4613,6.3364,6.6603,6.8719,6.9842,7.097,7.18,7.81,7.8246
2026-05-06,4.6415,4.7364,5.0776,5.3929,6.3048,6.7492,7.0861,7.2864,7.4498,7.5045,7.8137,7.8067
2026-05-05,4.5502,4.6854,4.8606,5.3178,6.2128,6.659,6.9761,7.1424,7.2649,7.3234,7.8352,7.8078
2026-05-04,4.551,4.6423,4.8566,5.2555,6.06,6.4579,6.7443,6.9122,7.0248,7.0581,6.906,6.9057
2026-04-30,4.3266,4.6217,4.7602,5.2143,6.0459,6.446,6.7237,6.8708,6.9507,6.9591,6.9082,6.9059
2026-04-29,4.2957,4.5284,4.7359,5.1255,5.954,6.3283,6.579,6.7249,6.8382,6.8425,6.9065,6.9028
2026-04-28,4.2965,4.5131,4.6949,5.1316,5.9191,6.2721,6.5158,6.6679,6.8191,6.8763,6.9576,6.9549
2026-04-27,4.4618,4.512,4.6781,5.0809,5.8534,6.1948,6.4262,6.5705,6.7187,6.8169,6.9595,6.9577
2026-04-24,4.4148,4.5469,4.6632,5.0583,5.8022,6.136,6.3603,6.5137,6.7099,6.7956,6.9402,6.9463
2026-04-23,4.4068,4.5491,4.6615,5.0557,5.7276,6.03,6.2409,6.3919,6.5965,6.7045,6.9262,6.9283
2026-04-22,4.3911,4.5353,4.6561,5.0571,5.7004,5.9843,6.1979,6.3643,6.5897,6.6745,6.7323,6.7301
2026-04-21,4.2368,4.5285,4.6978,5.0953,5.7097,5.992,6.1959,6.3501,6.5582,6.6511,6.7303,6.7301
2026-04-20,4.249,4.5412,4.6629,5.1095,5.7211,5.9962,6.1934,6.338,6.5353,6.6471,6.7357,6.7299
2026-04-17,4.3611,4.6183,4.708,5.0969,5.7345,6.0079,6.2079,6.3552,6.5568,6.6604,6.8754,6.8717
2026-04-16,4.3664,4.6249,4.778,5.1299,5.7462,6.0101,6.2011,6.3366,6.5175,6.6441,6.8571,6.8558
2026-04-15,4.383,4.652,4.8462,5.1296,5.7771,6.0246,6.2126,6.3563,6.5222,6.6133,6.823,6.8198
2026-04-14,4.4948,4.7027,4.8569,5.1361,5.7552,6.0165,6.2079,6.3499,6.5159,6.607,6.8617,6.8602
2026-04-13,4.4965,4.7058,4.9289,5.1727,5.7635,6.0538,6.2686,6.4139,6.5748,6.7356,6.8622,6.8584
2026-04-10,4.5397,4.7599,4.9141,5.1591,5.7461,6.026,6.2388,6.3837,6.5214,6.598,6.8632,6.8575
2026-04-08,4.5589,4.8284,4.9903,5.1807,5.7531,6.02,6.2258,6.3702,6.5145,6.6076,6.8361,6.8315
2026-04-07,4.739,4.9476,5.0741,5.2065,5.9149,6.184,6.3805,6.5339,6.7152,6.8371,7.0229,7.0167
2026-04-06,4.7497,4.9562,5.0973,5.2081,5.9598,6.241,6.4314,6.5699,6.7257,6.7664,7.0172,7.018
2026-04-01,4.7054,4.9897,5.1253,5.1803,5.9636,6.2524,6.4624,6.6218,6.7919,6.8308,7.0237,7.0168
2026-03-31,4.6982,4.9833,5.1189,5.1665,6.0275,6.3402,6.5546,6.7064,6.8774,6.931,7.013,7.0129
2026-03-30,4.8369,5.0095,5.0871,5.1791,6.0322,6.3511,6.5711,6.7246,6.9075,6.9791,7.0111,7.0119
2026-03-27,4.8315,4.9854,5.0695,5.1905,6.0153,6.3277,6.5457,6.7081,6.9147,7.0194,7.0028,7.0041
2026-03-26,4.822,4.9877,5.0682,5.1748,6.0054,6.3259,6.5571,6.7253,6.918,6.983,7.0125,7.0021
2026-03-25,4.8352,5.0129,5.0712,5.1578,6.0969,6.4068,6.6346,6.797,6.9585,7.0316,7.2473,7.249
2026-03-24,4.8384,5.0041,5.061,5.1508,6.1945,6.513,6.7255,6.867,7.0199,7.0576,7.2456,7.2472
2026-03-23,4.8309,4.9633,5.0035,5.1279,6.173,6.4458,6.6283,6.7543,6.9261,7.139,7.2544,7.2469
2026-03-19,4.7438,4.9813,4.9581,5.0886,6.0039,6.266,6.4567,6.5913,6.7529,6.9072,7.2432,7.2455
2026-03-18,4.7399,4.9129,4.9204,5.0761,5.9182,6.1941,6.3994,6.5423,6.6851,6.785,7.253,7.2516
2026-03-17,4.6647,4.8693,4.8523,5.0503,5.8618,6.1574,6.3704,6.5059,6.6574,6.8125,7.1544,7.1517
2026-03-16,4.6465,4.844,4.8277,5.0263,5.796,6.0787,6.282,6.418,6.5942,6.7416,6.6217,6.6154
2026-03-13,4.5789,4.858,4.8516,5.0297,5.6872,5.9408,6.1479,6.3009,6.4757,6.6248,6.549,6.5452
2026-03-12,4.5494,4.82,4.8433,5.0248,5.6722,5.9222,6.1292,6.2875,6.4763,6.6145,6.547,6.5416
2026-03-11,4.5044,4.8208,4.8588,4.9201,5.6627,5.8985,6.1068,6.271,6.4543,6.5386,6.5491,6.5461
2026-03-10,4.4857,4.6953,4.7501,4.8734,5.6434,5.9012,6.138,6.3284,6.5563,6.6626,6.5454,6.5456
2026-03-09,4.3988,4.5754,4.6541,4.7297,5.5537,5.8115,5.9996,6.1295,6.2689,6.4478,6.5659,6.5496
2026-03-06,4.3788,4.537,4.5881,4.6658,5.4295,5.6402,5.7955,5.9253,6.13,6.3182,6.5548,6.551
2026-03-05,4.3392,4.5037,4.5829,4.6632,5.3223,5.5231,5.6658,5.7815,5.9725,6.1796,6.5532,6.5542
2026-03-04,4.2974,4.4677,4.5739,4.6687,5.3177,5.5315,5.6862,5.8094,6.0012,6.1883,6.6053,6.6042
2026-03-03,4.3091,4.4504,4.5441,4.6235,5.2395,5.424,5.5643,5.6818,5.8747,6.0578,6.5905,6.5947
2026-03-02,4.3089,4.4358,4.5042,4.6085,5.2057,5.3767,5.5093,5.6164,5.7867,5.9779,6.5372,6.5343
2026-02-27,4.2966,4.4312,4.5242,4.6208,5.1526,5.3151,5.4422,5.5515,5.7332,5.9238,6.5371,6.5354
2026-02-26,4.3073,4.4049,4.5185,4.5888,5.1483,5.3149,5.4442,5.5549,5.7317,5.9215,6.5541,6.5522
2026-02-25,4.3238,4.4115,4.5159,4.5819,5.1539,5.3197,5.455,5.5721,5.753,5.9308,6.5794,6.5757
2026-02-24,4.3253,4.4036,4.5226,4.5825,5.1651,5.3476,5.4854,5.6002,5.7753,5.947,6.5783,6.5787
2026-02-23,4.382,4.4178,4.5388,4.5751,5.1671,5.3514,5.4907,5.605,5.7774,5.9601,6.5805,6.5815
2026-02-20,4.3281,4.4319,4.5437,4.5946,5.161,5.3463,5.485,5.5985,5.7732,5.9679,6.5791,6.5821
2026-02-19,4.3643,4.4722,4.5488,4.5821,5.1442,5.331,5.4801,5.6003,5.7736,5.9677,6.5752,6.5776
2026-02-18,4.3727,4.4933,4.5718,4.6196,5.1469,5.3178,5.4609,5.5787,5.7536,5.9279,6.5847,6.5829
2026-02-16,4.3963,4.5314,4.5923,4.6365,5.1568,5.3239,5.4657,5.5848,5.7613,5.9337,6.5842,6.5826
2026-02-13,4.4191,4.5498,4.6354,4.6781,5.1843,5.344,5.4756,5.5878,5.7747,5.9676,6.5824,6.5833
2026-02-12,4.4356,4.5584,4.6431,4.6659,5.1892,5.3578,5.4972,5.6158,5.797,5.9582,6.583,6.5813
2026-02-11,4.458,4.5543,4.6437,4.6663,5.1863,5.3577,5.4969,5.6145,5.7978,5.9618,6.5421,6.5409
2026-02-10,4.4643,4.564,4.6582,4.6801,5.1781,5.354,5.5008,5.6242,5.8085,5.9665,6.5407,6.5401
2026-02-09,4.4786,4.5705,4.6607,4.6986,5.1813,5.3545,5.4949,5.6165,5.8039,5.9629,6.5406,6.5408
2026-02-06,4.4415,4.5705,4.6827,4.7374,5.1613,5.3419,5.487,5.6129,5.8032,5.9598,6.541,6.5403
2026-02-05,4.4943,4.5926,4.6876,4.7356,5.1601,5.3431,5.4912,5.6184,5.8051,5.9616,6.5382,6.5385
2026-02-04,4.5196,4.6282,4.7088,4.7497,5.1695,5.3531,5.4952,5.6174,5.8022,5.9577,6.5251,6.5237
2026-02-03,4.5425,4.6497,4.7271,4.7683,5.1699,5.3521,5.4882,5.6039,5.7931,5.9447,6.5244,6.5231
2026-02-02,4.5792,4.6624,4.7363,4.7772,5.1746,5.3621,5.5076,5.6344,5.836,5.9687,6.5208,6.5186
2026-01-30,4.5863,4.6826,4.7725,4.8412,5.1883,5.3796,5.5283,5.6551,5.8549,5.9868,6.5127,6.5117
2026-01-29,4.592,4.6934,4.7882,4.8477,5.219,5.4057,5.5536,5.6783,5.8698,6.0111,6.4959,6.4944
2026-01-28,4.6213,4.7441,4.8124,4.8583,5.2371,5.4214,5.5683,5.694,5.8907,6.0258,6.4934,6.4922
2026-01-27,4.64,4.747,4.824,4.8602,5.244,5.4355,5.587,5.7119,5.909,6.042,6.4923,6.4921
2026-01-26,4.6302,4.7392,4.8266,4.8773,5.257,5.4517,5.6087,5.7357,5.9227,6.0395,6.4935,6.4932
2026-01-23,4.6412,4.7664,4.8359,4.8912,5.2987,5.4974,5.6489,5.7656,5.9368,6.0635,6.4996,6.4956
2026-01-22,4.6511,4.7779,4.8446,4.9103,5.2959,5.4889,5.6443,5.7686,5.9503,6.0701,6.4993,6.4956
2026-01-21,4.6484,4.7816,4.8666,4.9114,5.3187,5.5139,5.6723,5.7945,5.9645,6.0721,6.4929,6.4898
2026-01-20,4.6787,4.7888,4.8697,4.8576,5.3197,5.5057,5.6588,5.777,5.9347,6.0647,6.4897,6.4848
2026-01-19,4.6876,4.785,4.8709,4.915,5.3012,5.4808,5.6306,5.7472,5.9083,6.0522,6.4899,6.4854
2026-01-16,4.6663,4.7975,4.8811,4.9428,5.2954,5.4709,5.6189,5.7334,5.8923,6.0483,6.4875,6.4852
2026-01-15,4.6911,4.797,4.8821,4.9465,5.2982,5.4686,5.6126,5.7253,5.8855,6.0446,6.4886,6.485
2026-01-14,4.6691,4.8019,4.8928,4.9521,5.2889,5.4521,5.5998,5.7253,5.8918,6.0483,6.4476,6.4463
2026-01-13,4.6865,4.8038,4.8909,4.9519,5.2956,5.4599,5.6053,5.7249,5.8882,6.0302,6.4016,6.3967
2026-01-12,4.6869,4.8017,4.8966,4.9602,5.2961,5.4607,5.6091,5.7301,5.8889,6.0326,6.4034,6.3978
2026-01-09,4.6663,4.8009,4.9097,4.9746,5.2938,5.4594,5.6077,5.7273,5.884,6.0271,6.4043,6.4014
2026-01-08,4.6574,4.7882,4.9066,4.9722,5.2898,5.455,5.6023,5.72,5.8726,6.0014,6.4112,6.4075
2026-01-07,4.646,4.7843,4.9193,4.9936,5.3227,5.481,5.6214,5.7364,5.8895,5.9953,6.4128,6.4105
2026-01-06,4.6756,4.8119,4.9342,5.1481,5.3389,5.5096,5.6599,5.7765,5.9141,6.0186,6.4103,6.4063
2026-01-05,4.6933,4.8387,4.9378,5.0366,5.3516,5.5157,5.6675,5.7874,5.9323,6.0583,6.4121,6.4047
2026-01-02,4.7024,4.8547,4.9769,5.0375,5.3533,5.5143,5.67,5.7964,5.9409,6.0517,6.4099,6.405
2025-12-29,4.6938,4.8496,4.9863,5.0391,5.3721,5.5219,5.6673,5.7879,5.9342,6.0722,6.4126,6.4088
2025-12-26,4.7244,4.8434,4.9725,5.0317,5.3502,5.4984,5.6393,5.7502,5.8883,6.0539,6.4123,6.4076
2025-12-23,4.7191,4.843,4.976,5.0352,5.3329,5.4785,5.6131,5.7221,5.8693,6.0399,6.4143,6.4083
2025-12-22,4.718,4.8852,4.9707,5.0444,5.3066,5.4555,5.5934,5.7053,5.8501,5.9784,6.4067,6.404
2025-12-19,4.6996,4.8496,4.9677,5.0447,5.2971,5.4483,5.5884,5.7018,5.8457,5.979,6.4069,6.4042
2025-12-18,4.6658,4.8448,4.9644,5.0445,5.2973,5.446,5.5832,5.6958,5.8511,6.0309,6.4355,6.4282
2025-12-17,4.6715,4.8487,4.9637,5.05,5.2832,5.43,5.5696,5.6895,5.8614,6.0492,6.4516,6.4471
2025-12-16,4.7042,4.8733,4.9735,5.0376,5.2718,5.4202,5.5636,5.6875,5.8689,6.0611,6.3873,6.3858
2025-12-15,4.6792,4.8573,4.972,5.0298,5.2524,5.4041,5.5503,5.6761,5.8611,6.0409,6.3859,6.3846
2025-12-12,4.6673,4.8683,4.9989,5.0583,5.2463,5.3899,5.5242,5.6397,5.8259,6.0266,6.3883,6.3847
2025-12-11,4.6633,4.8663,4.9896,5.0632,5.206,5.3291,5.4506,5.5641,5.757,5.9904,6.3877,6.3825
2025-12-10,4.6427,4.8654,4.9971,5.0661,5.1958,5.3203,5.4457,5.5627,5.7466,5.9723,6.3883,6.383
2025-12-09,4.6676,4.8622,4.9813,5.0321,5.1951,5.3195,5.4456,5.5639,5.7386,5.9201,6.3872,6.3833
2025-12-05,4.675,4.8732,4.999,5.052,5.1907,5.3077,5.4312,5.5493,5.7266,5.9178,6.3862,6.3828
2025-12-04,4.6458,4.8725,4.9953,5.0478,5.193,5.3111,5.4354,5.5543,5.7283,5.9052,6.3878,6.3838
2025-12-03,4.6652,4.8785,4.9886,5.0452,5.2066,5.3253,5.4442,5.5539,5.7173,5.9198,6.3889,6.3818
2025-12-02,4.695,4.887,4.9877,5.0488,5.2163,5.3395,5.4606,5.5709,5.7385,5.94,6.3878,6.3817
2025-12-01,4.6903,4.8886,4.9914,5.0513,5.2208,5.3396,5.4561,5.5623,5.7329,5.9469,6.3855,6.3795
2025-11-28,4.6572,4.882,4.9999,5.0711,5.2096,5.331,5.4501,5.5588,5.7291,5.9364,6.3836,6.3794
2025-11-27,4.6486,4.876,4.9991,5.0799,5.1752,5.2989,5.4238,5.5392,5.7196,5.9228,6.3833,6.379
2025-11-26,4.6673,4.8868,5.0024,5.0841,5.1581,5.2792,5.4035,5.5202,5.7041,5.9115,6.3839,6.3796
2025-11-25,4.6855,4.8893,5.0093,5.0865,5.1602,5.2822,5.4058,5.521,5.7095,5.9226,6.3785,6.3749
2025-11-24,4.6883,4.8847,5.0015,5.0853,5.1644,5.2862,5.4095,5.5262,5.7175,5.9151,6.3712,6.3735
2025-11-21,4.6598,4.8676,5.0032,5.0852,5.1728,5.2947,5.4169,5.5319,5.7179,5.8956,6.376,6.3789
2025-11-20,4.6405,4.8591,5.0052,5.1001,5.1849,5.3087,5.4307,5.5436,5.7239,5.8953,6.3703,6.3734
2025-11-19,4.6377,4.848,5.0042,5.0962,5.2027,5.324,5.4405,5.5494,5.7301,5.9024,6.3712,6.375
2025-11-18,4.699,4.8685,5.004,5.0961,5.2086,5.3317,5.4512,5.5611,5.7381,5.9238,6.3593,6.3617
2025-11-17,4.7025,4.8778,5.0332,5.0934,5.2058,5.3221,5.4378,5.5477,5.7232,5.9003,6.3726,6.3671
2025-11-14,4.7049,4.8914,5.0425,5.1082,5.1942,5.3063,5.4147,5.5153,5.6854,5.883,6.3701,6.3728
2025-11-13,4.7257,4.8985,5.0446,5.1103,5.2181,5.3149,5.4128,5.5074,5.6728,5.8738,6.3719,6.3736
2025-11-12,4.7388,4.908,5.0524,5.1277,5.2366,5.3343,5.4321,5.5261,5.6945,5.8959,6.3781,6.3822
2025-11-11,4.7619,4.921,5.0543,5.1391,5.2781,5.3837,5.4839,5.5803,5.7495,5.9509,6.3847,6.3828
2025-11-10,4.7567,4.9493,5.0727,5.1782,5.306,5.4161,5.5179,5.6119,5.7729,5.9696,6.382,6.3796
2025-11-07,4.7217,4.9403,5.076,5.18,5.3222,5.4158,5.5182,5.6173,5.7831,5.9778,6.3798,6.3761
2025-11-06,4.7154,4.9144,5.0663,5.1736,5.3493,5.4648,5.5776,5.6771,5.8275,6.0007,6.3851,6.3798
2025-11-05,4.7056,4.909,5.0898,5.1715,5.3567,5.4731,5.5864,5.6884,5.8354,6.0031,6.3772,6.3712
2025-11-04,4.6869,4.9023,5.09,5.1621,5.3627,5.4827,5.5949,5.6948,5.8361,5.9273,6.3747,6.3734
2025-11-03,4.6744,4.9046,5.0944,5.1582,5.3817,5.4984,5.6077,5.7045,5.843,5.9437,6.3757,6.3732
2025-10-30,4.6528,4.8951,5.0966,5.1781,5.3924,5.5055,5.61,5.7025,5.8366,5.9382,6.4221,6.4205
2025-10-29,4.6743,4.8981,5.0945,5.178,5.4017,5.5155,5.6205,5.7128,5.8467,5.9799,6.4249,6.4195
2025-10-28,4.7503,4.9157,5.0871,5.1455,5.4168,5.5275,5.6316,5.7213,5.8478,5.9916,6.4239,6.419
2025-10-27,4.728,4.9025,5.0874,5.1439,5.4166,5.518,5.619,5.7073,5.8343,5.9854,6.4304,6.4243
2025-10-24,4.7048,4.9263,5.0977,5.1626,5.4075,5.5142,5.6143,5.7002,5.8252,5.9794,6.4278,6.4258
2025-10-23,4.7115,4.9261,5.1001,5.1632,5.4014,5.5143,5.6156,5.7016,5.8235,5.9679,6.3881,6.3821
2025-10-22,4.7362,4.9316,5.1018,5.1822,5.3986,5.5109,5.6128,5.7003,5.8231,5.9696,6.4068,6.401
2025-10-21,4.7646,4.938,5.1249,5.1874,5.3984,5.5103,5.6176,5.7093,5.8322,5.9689,6.4092,6.3992
2025-10-20,4.8683,4.9441,5.1043,5.143,5.4071,5.5149,5.6147,5.698,5.8106,5.9217,6.4015,6.3998
2025-10-17,4.8021,4.9708,5.138,5.2031,5.4157,5.5154,5.6079,5.6883,5.8071,5.9529,6.4066,6.3995
2025-10-16,4.7924,4.9584,5.1481,5.1787,5.4129,5.5079,5.5996,5.6798,5.7978,5.9463,6.4065,6.3989
2025-10-15,4.6551,4.9144,5.1553,5.1673,5.419,5.5143,5.6043,5.6827,5.7984,5.9426,6.4062,6.3985
2025-10-14,4.6881,4.9159,5.1704,5.2106,5.4569,5.5474,5.632,5.7053,5.8169,5.9272,6.4195,6.4083
2025-10-13,4.7203,4.9385,5.1722,5.219,5.502,5.5877,5.6665,5.7334,5.8254,5.9204,6.4009,6.4005
2025-10-10,4.7615,4.9706,5.198,5.2786,5.5079,5.6009,5.6832,5.7536,5.8455,5.9556,6.4102,6.4008
2025-10-09,4.7697,4.9744,5.2073,5.2809,5.5504,5.6597,5.7481,5.8198,5.9109,5.9967,6.4413,6.4386
2025-10-08,4.8517,4.978,5.2094,5.2875,5.5887,5.7098,5.8074,5.884,5.9729,6.047,6.4574,6.4552
2025-10-07,4.7508,4.9097,5.2003,5.2944,5.5949,5.7183,5.8155,5.8912,5.9843,6.0644,6.3562,6.3547
